date,open,high,low,close,volume,ret1,fwd_ret1,rsi14,macd,macd_hist,bb_pctb,dev25,stoch_k,stoch_d,adx,roc10,ma_gap_5_25,ma_gap_25_75,us_ret,jpy_ret,fut_premium,nikkei_vi,nikkei_vi_chg,vix,vix_chg,dow,key
2021-09-03,28626.48047,29149.65039,28607.86914,29128.10938,74900000,,0.01826,50.00000,0.00000,0.00000,,,,,,,,,0.28426,0.03635,1.60289,,,16.41000,,4,
2021-09-06,29501.22070,29705.03906,29469.34961,29659.89062,68300000,0.01826,0.00864,50.00000,42.42130,33.93704,,,,,100.00000,,,,-0.03350,-0.13715,-0.21878,,,16.41000,0.00000,0,
2021-09-07,29883.91992,30048.23047,29838.42969,29916.14062,75200000,0.00864,0.00886,50.00000,95.61552,69.70501,,,,,100.00000,,,,-0.03350,-0.16463,0.16332,,,16.41000,0.00000,1,
2021-09-08,29819.55078,30241.86914,29787.13086,30181.21094,82500000,0.00886,-0.00573,50.00000,157.34747,105.14957,,,,,100.00000,,,,-0.33956,0.05102,-0.73294,,,18.14000,10.54235,2,
2021-09-09,29959.21094,30097.56055,29909.91992,30008.18945,78800000,-0.00573,0.01245,97.37884,190.11755,110.33572,,,,,100.00000,,,,-0.13186,0.43343,0.40592,,,17.96000,-0.99228,3,
2021-09-10,30089.44922,30381.83984,30064.01953,30381.83984,88800000,0.01245,0.00216,97.52944,243.43240,130.92045,,,,,100.00000,,,,-0.46056,-0.07071,-0.13771,,,18.80000,4.67706,4,
2021-09-13,30372.01953,30447.36914,30229.00977,30447.36914,64600000,0.00216,0.00732,97.55596,287.65654,140.11568,,,,,100.00000,,,,-0.77226,-0.39649,-0.12273,,,20.95000,11.43618,0,
2021-09-14,30584.76953,30795.77930,30504.81055,30670.09961,79100000,0.00732,-0.00516,97.64837,336.79462,151.40301,,,,,100.00000,,,,0.22765,0.12206,-0.11444,,,19.37000,-7.54177,1,
2021-09-15,30464.16992,30573.41016,30347.30078,30511.71094,68600000,-0.00516,-0.00617,94.90048,358.82001,138.74271,,,87.01645,,98.44757,,,,-0.57466,0.07188,-0.12032,,,19.46000,0.46463,2,
2021-09-16,30606.15039,30622.39062,30202.50977,30323.33984,69900000,-0.00617,0.00583,91.59906,356.96050,109.50656,,,64.38262,,95.76924,,,,0.84740,-0.25002,-0.10995,,,18.18000,-6.57759,3,
2021-09-17,30387.53906,30541.99023,30358.92969,30500.05078,97900000,0.00583,-0.02165,91.88429,365.53229,94.46268,,,70.68071,74.02660,93.28222,4.71003,,,-0.15511,-0.30624,-0.09853,,,18.69000,2.80528,4,
